"BehaviorSpace results (NetLogo 6.2.0)"
"HelechosCon Infección.nlogo"
"experiment"
"09/02/2021 12:48:46:846 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"308","10","125","3"
"309","10","129","14"
"310","10","119","26"
"311","10","130","22"
"312","10","145","49"
"313","10","158","39"
"314","10","166","57"
"315","10","149","19"
"316","10","121","39"
"318","10","127","25"
"317","10","136","13"
"319","10","136","39"
"321","10","133","43"
"322","10","135","42"
"320","10","154","35"
"323","10","142","27"
"325","10","128","41"
"324","10","151","29"
"326","10","150","63"
"327","10","161","28"
"329","10","136","34"
"328","10","151","13"
"331","10","131","49"
"332","10","143","38"
"330","10","185","57"
"335","10","126","60"
"333","10","132","36"
"334","10","151","38"
"336","10","141","46"
"338","10","113","19"
"337","10","141","58"
"339","10","186","29"
"341","10","134","28"
"340","10","146","48"
"343","10","151","54"
"342","10","144","84"
"345","10","138","22"
"346","10","134","43"
"344","10","143","30"
"347","10","123","29"
"349","10","139","29"
"350","10","138","43"
"351","10","131","29"
"348","10","151","21"
"352","10","137","43"
"354","10","124","52"
"353","10","135","69"
"355","10","134","39"
"356","10","131","33"
"357","10","147","54"
"358","10","154","64"
"360","10","124","44"
"359","10","162","16"
"361","10","131","32"
"362","10","130","27"
"363","10","160","47"
"366","10","133","44"
"367","10","140","50"
"369","10","121","32"
"364","10","146","37"
"365","10","170","52"
"368","10","158","32"
"370","10","196","44"
"374","10","115","59"
"371","10","139","21"
"372","10","136","35"
"373","10","155","30"
"375","10","178","72"
"377","10","137","37"
"376","10","165","51"
"378","10","137","58"
"379","10","134","24"
"380","10","141","19"
"381","10","159","75"
"382","10","145","40"
"384","10","139","23"
"383","10","142","46"
"385","10","150","63"
"386","10","161","29"
"388","10","131","52"
"389","10","121","43"
"390","10","117","28"
"387","10","214","57"
"391","10","201","46"
"393","10","146","25"
"394","10","155","44"
"392","10","163","42"
"397","10","119","43"
"395","10","153","38"
"396","10","141","20"
"398","10","136","22"
"399","10","159","20"
"403","10","125","26"
"401","10","140","22"
"400","10","191","95"
"404","10","108","24"
"405","10","132","44"
"406","10","139","42"
"402","10","134","33"
"407","10","159","41"
"411","10","137","32"
"409","10","150","8"
"408","10","159","27"
"413","10","114","19"
"412","10","156","51"
"410","10","172","45"
"414","10","165","38"
"415","10","131","64"
"417","10","142","21"
"419","10","128","31"
"416","10","151","45"
"421","10","113","25"
"418","10","165","8"
"420","10","156","68"
"422","10","141","9"
"423","10","129","36"
"425","10","146","62"
"424","10","157","35"
"428","10","141","16"
"426","10","153","45"
"427","10","147","38"
"429","10","167","26"
"431","10","154","41"
"432","10","164","68"
"430","10","162","30"
"433","10","141","26"
"435","10","159","59"
"434","10","183","37"
"437","10","134","41"
"436","10","164","46"
"438","10","123","25"
"440","10","128","53"
"439","10","134","16"
"443","10","126","26"
"441","10","143","34"
"442","10","166","70"
"445","10","150","43"
"447","10","146","41"
"444","10","157","60"
"448","10","149","44"
"446","10","184","28"
"450","10","151","34"
"451","10","133","23"
"449","10","155","44"
"452","10","147","43"
"456","10","130","50"
"453","10","155","53"
"454","10","175","45"
"455","10","212","52"
"457","10","128","71"
"458","10","154","36"
"459","10","147","66"
"460","10","153","49"
"461","10","140","40"
"463","10","134","18"
"462","10","155","54"
"465","10","126","14"
"464","10","162","41"
"467","10","146","39"
"466","10","147","46"
"468","10","141","60"
"470","10","129","21"
"469","10","158","24"
"472","10","159","36"
"471","10","142","37"
"473","10","147","38"
"474","10","163","30"
"475","10","135","33"
"476","10","152","61"
"479","10","124","26"
"478","10","133","21"
"477","10","154","45"
"482","10","132","43"
"480","10","147","37"
"481","10","166","31"
"483","10","158","38"
"484","10","134","35"
"485","10","107","34"
"487","10","141","30"
"486","10","143","20"
"488","10","134","51"
"492","10","134","36"
"490","10","138","31"
"489","10","166","41"
"491","10","169","51"
"493","10","138","50"
"495","10","126","11"
"494","10","168","49"
"496","10","144","27"
"497","10","125","54"
"498","10","131","27"
"501","10","117","11"
"500","10","111","24"
"502","10","128","20"
"499","10","140","22"
"504","10","117","23"
"503","10","163","69"
"505","10","137","26"
"507","10","140","12"
"506","10","148","48"
"508","10","150","26"
"509","10","171","74"
"512","10","125","46"
"511","10","149","19"
"510","10","153","18"
"513","10","154","39"
"514","10","144","41"
"515","10","164","45"
"517","10","158","28"
"519","10","178","36"
"516","10","215","52"
"520","10","134","22"
"518","10","155","18"
"522","10","134","29"
"521","10","187","61"
"523","10","143","38"
"524","10","147","86"
"527","10","141","30"
"528","10","144","50"
"525","10","167","55"
"530","10","135","45"
"526","10","157","58"
"529","10","150","54"
"531","10","152","45"
"532","10","129","48"
"535","10","146","31"
"534","10","148","46"
"533","10","132","34"
"538","10","142","38"
"537","10","146","47"
"536","10","155","30"
"539","10","145","33"
"540","10","126","25"
"542","10","121","31"
"545","10","137","35"
"543","10","118","39"
"541","10","167","21"
"544","10","181","6"
"546","10","162","23"
"547","10","162","48"
"548","10","160","31"
"549","10","147","35"
"553","10","135","38"
"551","10","135","38"
"554","10","129","52"
"552","10","142","41"
"550","10","181","11"
"555","10","153","38"
"556","10","150","23"
"557","10","167","54"
"561","10","113","18"
"560","10","132","28"
"558","10","148","37"
"562","10","146","38"
"559","10","145","41"
"564","10","142","47"
"563","10","161","16"
"565","10","122","14"
"567","10","128","25"
"566","10","138","20"
"568","10","171","37"
"571","10","113","47"
"569","10","142","33"
"570","10","149","51"
"572","10","138","32"
"573","10","157","44"
"575","10","135","35"
"574","10","138","58"
"576","10","148","37"
"578","10","153","60"
"577","10","128","10"
"579","10","127","48"
"581","10","131","30"
"580","10","173","8"
"582","10","127","16"
"584","10","128","29"
"586","10","105","8"
"583","10","159","38"
"585","10","128","42"
"588","10","122","2"
"587","10","152","42"
"589","10","147","46"
"590","10","143","44"
"591","10","150","24"
"592","10","155","73"
"593","10","156","56"
"594","10","173","35"
"597","10","138","17"
"595","10","146","28"
"598","10","131","29"
"596","10","126","28"
"599","10","142","50"
"601","10","120","25"
"600","10","197","53"
"602","10","121","43"
"604","10","115","18"
"603","10","127","31"
"606","10","131","55"
"605","10","139","21"
"607","10","139","34"
"608","10","135","44"
"609","10","182","61"
"610","10","169","29"
"612","10","143","46"
"611","10","163","66"
"614","10","145","31"
"613","10","148","29"
"615","10","179","59"
"618","10","125","57"
"616","10","156","23"
"617","10","155","51"
"619","10","147","36"
"620","10","139","33"
"621","10","148","20"
"625","10","141","64"
"626","10","125","47"
"623","10","160","20"
"624","10","199","51"
"622","10","154","18"
"628","10","144","42"
"627","10","155","16"
"629","10","127","22"
"630","10","124","26"
