"BehaviorSpace results (NetLogo 6.2.0)"
"Traffic Basic.nlogo"
"experiment"
"02/05/2021 10:19:37:535 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-4","4"
"[run number]","acceleration","number-of-cars","deceleration","[step]","mean [speed] of  turtles"
"101","0.0025","20","0.017","1000","0.21366609511314977"
"102","0.0025","20","0.017","1000","0.21418724803264205"
"103","0.0025","20","0.017","1000","0.21765368173623828"
"104","0.0025","20","0.017","1000","0.2012966667089219"
"105","0.0025","20","0.017","1000","0.2125207574895987"
"106","0.0025","20","0.017","1000","0.31696415351379453"
"107","0.0025","20","0.017","1000","0.1970339689833447"
"108","0.0025","20","0.017","1000","0.21363900375444111"
"109","0.0025","20","0.017","1000","0.20943287453987008"
"110","0.0025","20","0.017","1000","0.20703588505252202"
"111","0.0025","20","0.017","1000","0.20029115056564284"
"112","0.0025","20","0.017","1000","0.20931584628264285"
"113","0.0025","20","0.017","1000","0.20483563418043663"
"114","0.0025","20","0.017","1000","0.20420734868568724"
"115","0.0025","20","0.017","1000","0.19888725715428265"
"116","0.0025","20","0.017","1000","0.20853044866627263"
"117","0.0025","20","0.017","1000","0.20800445236338416"
"118","0.0025","20","0.017","1000","0.1934095597409746"
"120","0.0025","20","0.017","1000","0.21691779899095914"
"119","0.0025","20","0.017","1000","0.20664124389373653"
"121","0.0025","20","0.017","1000","0.2146674500320914"
"124","0.0025","20","0.017","1000","0.19373345659635724"
"123","0.0025","20","0.017","1000","0.20369301861168063"
"122","0.0025","20","0.017","1000","0.20981007562195111"
"125","0.0025","20","0.017","1000","0.20255411508202142"
"126","0.0025","20","0.017","1000","0.20183795588481196"
"127","0.0025","20","0.017","1000","0.2029819808776611"
"128","0.0025","20","0.017","1000","0.3214472856459774"
"130","0.0025","20","0.017","1000","0.2070952889302322"
"129","0.0025","20","0.017","1000","0.20758007697441144"
"131","0.0025","20","0.017","1000","0.19926711360398947"
"132","0.0025","20","0.017","1000","0.20383127963818454"
"133","0.0025","20","0.017","1000","0.20604216337772857"
"134","0.0025","20","0.017","1000","0.19782987032480384"
"136","0.0025","20","0.017","1000","0.19753714511672688"
"135","0.0025","20","0.017","1000","0.19416256444951258"
"137","0.0025","20","0.017","1000","0.20356968918622814"
"140","0.0025","20","0.017","1000","0.20209261560959907"
"138","0.0025","20","0.017","1000","0.19169474753349364"
"139","0.0025","20","0.017","1000","0.2025084892050685"
"141","0.0025","20","0.017","1000","0.2044152192059082"
"142","0.0025","20","0.017","1000","0.20868929350110305"
"143","0.0025","20","0.017","1000","0.2056436571113664"
"144","0.0025","20","0.017","1000","0.20450389080341252"
"147","0.0025","20","0.017","1000","0.19916375260458002"
"145","0.0025","20","0.017","1000","0.3373788108431838"
